prefix,continuation_1,head_idxs_1,continuation_2,head_idxs_2,both,neither,transitive
Although the band left the party,I stayed .,"[4,3,4,8,6,4,8,0]",went on .,"[4,3,4,7,6,7,0,7]",raged on for,.,True
As the criminal shot the woman,I shouted .,"[4,3,4,8,6,4,8,0]",fell down .,"[4,3,4,7,6,7,0,7]",on the porch,.,True
When the dog bit the doctor,I laughed .,"[4,3,4,8,6,4,8,0]",ran away .,"[4,3,4,7,6,7,0,7]",who was walking,.,True
As the ship crossed the waters,we slept .,"[4,3,4,8,6,4,8,0]",remained calm .,"[4,3,4,7,6,7,0,7]",which were calm,.,True
After the newcomers asked the soldiers,we marched .,"[4,3,4,8,6,4,8,0]",shared food .,"[4,3,4,7,6,7,0,7]",in the camp,.,True
Though the athlete telephoned the coach,we practiced .,"[4,3,4,8,6,4,8,0]",rejected him .,"[4,3,4,7,6,7,0,7]",of the team,.,True
While the crowd appluaded the actor,I left .,"[4,3,4,8,6,4,8,0]",sat down .,"[4,3,4,7,6,7,0,7]",who danced on,.,True
While the audience cheered the actor,we left .,"[4,3,4,8,6,4,8,0]",continued performing .,"[4,3,4,7,6,7,0,7]",who sang the,.,True
While the students ate the food,I starved .,"[4,3,4,8,6,4,8,0]",became cold .,"[4,3,4,7,6,7,0,7]",from the grocery,.,True
When the professor taught the visitors,I listened .,"[4,3,4,8,6,4,8,0]",lost interest .,"[4,3,4,7,6,7,0,7]",who were in,.,True
Because the baby grabbed the woman,we cheered .,"[4,3,4,8,6,4,8,0]",stayed longer .,"[4,3,4,7,6,7,0,7]",who was near,.,True
Because the manager applauded the comedian,we laughed .,"[4,3,4,8,6,4,8,0]",spoke more .,"[4,3,4,7,6,7,0,7]",who just performed,.,True
After the patient asked the nurse,I cried .,"[4,3,4,8,6,4,8,0]",told her .,"[4,3,4,7,6,7,0,7]",in the hospital,.,True
After the guard visited the children,we visited .,"[4,3,4,8,6,4,8,0]",played more .,"[4,3,4,7,6,7,0,7]",who were playing,.,True
After the dog signaled the farmer,I worked .,"[4,3,4,8,6,4,8,0]",went out .,"[4,3,4,7,6,7,0,7]",who was focused,.,True
